kind,implementation,memory,size,offset,cycles,iterations
overhead,empty,none,0,0,9224,512
fixed,baseline,dtcm,1,0,131080,512
fixed,specialized,dtcm,1,0,22024,512
fixed,baseline,dtcm,1,7,131080,512
fixed,specialized,dtcm,1,7,22024,512
fixed,baseline,dtcm,2,0,133128,512
fixed,specialized,dtcm,2,0,51208,512
fixed,baseline,dtcm,2,7,133128,512
fixed,specialized,dtcm,2,7,51208,512
fixed,baseline,dtcm,4,0,133128,512
fixed,specialized,dtcm,4,0,51208,512
fixed,baseline,dtcm,4,7,133128,512
fixed,specialized,dtcm,4,7,51208,512
fixed,baseline,dtcm,8,0,133128,512
fixed,specialized,dtcm,8,0,51208,512
fixed,baseline,dtcm,8,7,133128,512
fixed,specialized,dtcm,8,7,51208,512
fixed,baseline,dtcm,16,0,131080,512
fixed,specialized,dtcm,16,0,51208,512
fixed,baseline,dtcm,16,7,133128,512
fixed,specialized,dtcm,16,7,51208,512
scan,byte,dtcm,1,0,49160,512
scan,word,dtcm,1,0,49160,512
scan,word_unaligned,dtcm,1,0,49160,512
scan,mve,dtcm,1,0,49160,512
scan,byte,dtcm,1,1,49160,512
scan,word,dtcm,1,1,49160,512
scan,word_unaligned,dtcm,1,1,49160,512
scan,mve,dtcm,1,1,49160,512
scan,byte,dtcm,1,3,49160,512
scan,word,dtcm,1,3,49160,512
scan,word_unaligned,dtcm,1,3,49160,512
scan,mve,dtcm,1,3,49160,512
scan,byte,dtcm,1,15,49160,512
scan,word,dtcm,1,15,49160,512
scan,word_unaligned,dtcm,1,15,49160,512
scan,mve,dtcm,1,15,49160,512
scan,byte,dtcm,2,0,49160,512
scan,word,dtcm,2,0,49160,512
scan,word_unaligned,dtcm,2,0,49160,512
scan,mve,dtcm,2,0,49160,512
scan,byte,dtcm,2,1,49160,512
scan,word,dtcm,2,1,51208,512
scan,word_unaligned,dtcm,2,1,49160,512
scan,mve,dtcm,2,1,49160,512
scan,byte,dtcm,2,3,49160,512
scan,word,dtcm,2,3,49160,512
scan,word_unaligned,dtcm,2,3,49160,512
scan,mve,dtcm,2,3,49160,512
scan,byte,dtcm,2,15,49160,512
scan,word,dtcm,2,15,49160,512
scan,word_unaligned,dtcm,2,15,49160,512
scan,mve,dtcm,2,15,49160,512
scan,byte,dtcm,3,0,49160,512
scan,word,dtcm,3,0,51208,512
scan,word_unaligned,dtcm,3,0,49160,512
scan,mve,dtcm,3,0,49160,512
scan,byte,dtcm,3,1,49160,512
scan,word,dtcm,3,1,55304,512
scan,word_unaligned,dtcm,3,1,49160,512
scan,mve,dtcm,3,1,49160,512
scan,byte,dtcm,3,3,49160,512
scan,word,dtcm,3,3,49160,512
scan,word_unaligned,dtcm,3,3,49160,512
scan,mve,dtcm,3,3,49160,512
scan,byte,dtcm,3,15,49160,512
scan,word,dtcm,3,15,49160,512
scan,word_unaligned,dtcm,3,15,49160,512
scan,mve,dtcm,3,15,49160,512
scan,byte,dtcm,4,0,49160,512
scan,word,dtcm,4,0,49160,512
scan,word_unaligned,dtcm,4,0,49160,512
scan,mve,dtcm,4,0,49160,512
scan,byte,dtcm,4,1,49160,512
scan,word,dtcm,4,1,53256,512
scan,word_unaligned,dtcm,4,1,49160,512
scan,mve,dtcm,4,1,49160,512
scan,byte,dtcm,4,3,49160,512
scan,word,dtcm,4,3,51208,512
scan,word_unaligned,dtcm,4,3,49160,512
scan,mve,dtcm,4,3,49160,512
scan,byte,dtcm,4,15,49160,512
scan,word,dtcm,4,15,51208,512
scan,word_unaligned,dtcm,4,15,49160,512
scan,mve,dtcm,4,15,49160,512
scan,byte,dtcm,6,0,57352,512
scan,word,dtcm,6,0,49160,512
scan,word_unaligned,dtcm,6,0,49160,512
scan,mve,dtcm,6,0,49160,512
scan,byte,dtcm,6,1,57352,512
scan,word,dtcm,6,1,61448,512
scan,word_unaligned,dtcm,6,1,49160,512
scan,mve,dtcm,6,1,49160,512
scan,byte,dtcm,6,3,57352,512
scan,word,dtcm,6,3,49160,512
scan,word_unaligned,dtcm,6,3,49160,512
scan,mve,dtcm,6,3,49160,512
scan,byte,dtcm,6,15,57352,512
scan,word,dtcm,6,15,49160,512
scan,word_unaligned,dtcm,6,15,49160,512
scan,mve,dtcm,6,15,49160,512
scan,byte,dtcm,8,0,65544,512
scan,word,dtcm,8,0,49160,512
scan,word_unaligned,dtcm,8,0,49160,512
scan,mve,dtcm,8,0,49160,512
scan,byte,dtcm,8,1,65544,512
scan,word,dtcm,8,1,51208,512
scan,word_unaligned,dtcm,8,1,49160,512
scan,mve,dtcm,8,1,49160,512
scan,byte,dtcm,8,3,65544,512
scan,word,dtcm,8,3,49160,512
scan,word_unaligned,dtcm,8,3,49160,512
scan,mve,dtcm,8,3,49160,512
scan,byte,dtcm,8,15,65544,512
scan,word,dtcm,8,15,49160,512
scan,word_unaligned,dtcm,8,15,49160,512
scan,mve,dtcm,8,15,49160,512
scan,byte,dtcm,12,0,81928,512
scan,word,dtcm,12,0,51208,512
scan,word_unaligned,dtcm,12,0,49160,512
scan,mve,dtcm,12,0,49160,512
scan,byte,dtcm,12,1,81928,512
scan,word,dtcm,12,1,55304,512
scan,word_unaligned,dtcm,12,1,49164,512
scan,mve,dtcm,12,1,49160,512
scan,byte,dtcm,12,3,81928,512
scan,word,dtcm,12,3,53256,512
scan,word_unaligned,dtcm,12,3,49164,512
scan,mve,dtcm,12,3,49160,512
scan,byte,dtcm,12,15,81928,512
scan,word,dtcm,12,15,53256,512
scan,word_unaligned,dtcm,12,15,49164,512
scan,mve,dtcm,12,15,49160,512
scan,byte,dtcm,16,0,98312,512
scan,word,dtcm,16,0,55304,512
scan,word_unaligned,dtcm,16,0,51208,512
scan,mve,dtcm,16,0,49160,512
scan,byte,dtcm,16,1,98312,512
scan,word,dtcm,16,1,59400,512
scan,word_unaligned,dtcm,16,1,55304,512
scan,mve,dtcm,16,1,49160,512
scan,byte,dtcm,16,3,98312,512
scan,word,dtcm,16,3,57352,512
scan,word_unaligned,dtcm,16,3,55304,512
scan,mve,dtcm,16,3,49160,512
scan,byte,dtcm,16,15,98312,512
scan,word,dtcm,16,15,57352,512
scan,word_unaligned,dtcm,16,15,55304,512
scan,mve,dtcm,16,15,49160,512
scan,byte,dtcm,24,0,131080,512
scan,word,dtcm,24,0,63496,512
scan,word_unaligned,dtcm,24,0,59400,512
scan,mve,dtcm,24,0,49160,512
scan,byte,dtcm,24,1,131080,512
scan,word,dtcm,24,1,67592,512
scan,word_unaligned,dtcm,24,1,65544,512
scan,mve,dtcm,24,1,49160,512
scan,byte,dtcm,24,3,131080,512
scan,word,dtcm,24,3,65544,512
scan,word_unaligned,dtcm,24,3,65544,512
scan,mve,dtcm,24,3,49160,512
scan,byte,dtcm,24,15,131080,512
scan,word,dtcm,24,15,65544,512
scan,word_unaligned,dtcm,24,15,65544,512
scan,mve,dtcm,24,15,49160,512
scan,byte,dtcm,32,0,163848,512
scan,word,dtcm,32,0,71688,512
scan,word_unaligned,dtcm,32,0,67592,512
scan,mve,dtcm,32,0,49160,512
scan,byte,dtcm,32,1,163848,512
scan,word,dtcm,32,1,75784,512
scan,word_unaligned,dtcm,32,1,75784,512
scan,mve,dtcm,32,1,49160,512
scan,byte,dtcm,32,3,163848,512
scan,word,dtcm,32,3,73736,512
scan,word_unaligned,dtcm,32,3,75784,512
scan,mve,dtcm,32,3,49160,512
scan,byte,dtcm,32,15,163848,512
scan,word,dtcm,32,15,73736,512
scan,word_unaligned,dtcm,32,15,75784,512
scan,mve,dtcm,32,15,49160,512
scan,byte,dtcm,48,0,229384,512
scan,word,dtcm,48,0,88072,512
scan,word_unaligned,dtcm,48,0,83976,512
scan,mve,dtcm,48,0,53256,512
scan,byte,dtcm,48,1,229384,512
scan,word,dtcm,48,1,92168,512
scan,word_unaligned,dtcm,48,1,96264,512
scan,mve,dtcm,48,1,55304,512
scan,byte,dtcm,48,3,229384,512
scan,word,dtcm,48,3,90120,512
scan,word_unaligned,dtcm,48,3,96264,512
scan,mve,dtcm,48,3,55304,512
scan,byte,dtcm,48,15,229384,512
scan,word,dtcm,48,15,90120,512
scan,word_unaligned,dtcm,48,15,96264,512
scan,mve,dtcm,48,15,55304,512
scan,byte,dtcm,64,0,294920,512
scan,word,dtcm,64,0,104456,512
scan,word_unaligned,dtcm,64,0,100360,512
scan,mve,dtcm,64,0,61448,512
scan,byte,dtcm,64,1,294920,512
scan,word,dtcm,64,1,108552,512
scan,word_unaligned,dtcm,64,1,116744,512
scan,mve,dtcm,64,1,63496,512
scan,byte,dtcm,64,3,294920,512
scan,word,dtcm,64,3,106504,512
